date,close,high,low,open,volume,ticker,daily_return,direction,next_day_return,next_day_direction
2026-03-20,247.99000549316406,249.1999969482422,246.0,247.97999572753906,88331100,AAPL,-0.3896213024359163,-1,1.411347200480817,1.0
2026-03-23,251.49000549316406,254.60000610351562,250.27999877929688,253.97000122070312,40546100,AAPL,1.411347200480817,1,0.059642090424327776,0.0
2026-03-24,251.63999938964844,254.8300018310547,249.5500030517578,250.35000610351562,45152300,AAPL,0.059642090424327776,0,0.389443542328749,1.0
2026-03-25,252.6199951171875,255.0,251.60000610351562,254.10000610351562,28476700,AAPL,0.389443542328749,1,0.10688159198788405,1.0
2026-03-26,252.88999938964844,257.0,250.77000427246094,252.1199951171875,41796700,AAPL,0.10688159198788405,1,-1.6173025219509918,-1.0
2026-03-27,248.8000030517578,255.49000549316406,248.07000732421875,253.89999389648438,47900000,AAPL,-1.6173025219509918,-1,-0.8721857485242457,-1.0
2026-03-30,246.6300048828125,250.8699951171875,245.50999450683594,250.07000732421875,39446200,AAPL,-0.8721857485242457,-1,2.9031294901536553,1.0
2026-03-31,253.7899932861328,255.47999572753906,247.10000610351562,247.91000366210938,49598100,AAPL,2.9031294901536553,1,0.7250134541771258,1.0
2026-04-01,255.6300048828125,256.17999267578125,253.3300018310547,254.0800018310547,40059400,AAPL,0.7250134541771258,1,0.11344258521832629,1.0
2026-04-02,255.9199981689453,256.1300048828125,250.64999389648438,254.1999969482422,31289400,AAPL,0.11344258521832629,1,1.1487914987700076,1.0
2026-04-06,258.8599853515625,262.1600036621094,256.4599914550781,256.510009765625,29329900,AAPL,1.1487914987700076,1,-2.0706117804507373,-1.0
2026-04-07,253.5,256.20001220703125,245.6999969482422,256.1600036621094,62148000,AAPL,-2.0706117804507373,-1,2.130175107094434,1.0
2026-04-08,258.8999938964844,259.75,256.5299987792969,258.45001220703125,41032800,AAPL,2.130175107094434,1,0.6141353323192211,1.0
2026-04-09,260.489990234375,261.1199951171875,256.07000732421875,259.0,28121600,AAPL,0.6141353323192211,1,-0.0038309525974056235,0.0
2026-04-10,260.4800109863281,262.19000244140625,259.0199890136719,259.9800109863281,31291500,AAPL,-0.0038309525974056235,0,-0.4914000020385667,-1.0
2026-04-13,259.20001220703125,260.17999267578125,256.6600036621094,259.7300109863281,36234700,AAPL,-0.4914000020385667,-1,-0.1427567968129817,-1.0
2026-04-14,258.8299865722656,261.92999267578125,257.19000244140625,259.25,48370700,AAPL,-0.1427567968129817,-1,2.9362927395561567,1.0
2026-04-15,266.42999267578125,266.55999755859375,257.80999755859375,258.1600036621094,49913500,AAPL,2.9362927395561567,1,-1.1372588907376024,-1.0
2026-04-16,263.3999938964844,267.1600036621094,261.2699890136719,266.79998779296875,43323100,AAPL,-1.1372588907376024,-1,2.5930209749845057,1.0
2026-04-17,270.2300109863281,272.29998779296875,266.7200012207031,266.9599914550781,61314800,AAPL,2.5930209749845057,1,,
